ConversationID,Timestamp,Model,Personality,Initial Salary,Final Salary,Salary Percent Change,BLEU,ROUGE,BERTScore,Cosine Similarity,METEOR,Avg Sentiment Score,Avg Response Length,Avg Relevance Score,Avg Coherence Score,Avg Combined GEval Score,MAUDE,Total Tokens,Avg Latency,Tokens per Second,Total Cost,Summary
752034cb-da55-4962-8fa8-28e530f873ea,2024-12-15T16:54:32.354723,Model 1,Competitive and Driven,134000,148100.0,10.522388059701493,0.015600377783190268,0.22216214742993867,0.8457714319229126,0.6415344178676605,0.21042768065974954,0.908025,115.75,0.9375,0.8375,0.8875,0.675,2496,1.6422398686408997,379.9688534637853,0.0,Agreement
b58f8f5e-b40c-4d5f-9e46-fad5273eb413,2024-12-15T16:55:08.899057,Model 1,Ambitious and Goal-Oriented,120400,145200.0,20.59800664451827,0.018455850694273364,0.19721046083287286,0.8424002130826315,0.5862112442652384,0.1985844703882881,0.9818666666666666,114.66666666666667,0.85,0.9499999999999998,0.9,0.7333333333333334,1967,2.0348347822825112,322.2210827019545,0.0,Agreement
8c49211c-0f29-49d4-b878-257669035c01,2024-12-15T16:55:51.945329,Model 1,Logical and Analytical,96100,98000.0,1.9771071800208115,0.014495254679600134,0.16854394308368956,0.8403216401735941,0.5467759072780609,0.20745348412237527,0.9896666666666666,138.66666666666666,0.85,0.9333333333333332,0.8916666666666666,0.6999999999999998,2108,3.259716351826986,215.56067793225026,0.0,Agreement
53df8f46-5970-4705-99ad-3f9ae1ac8ea5,2024-12-15T16:56:28.585053,Model 1,Charismatic and Persuasive,148000,153000.0,3.3783783783783785,0.013755486258940864,0.18215035023431306,0.8427013953526815,0.5600186387697855,0.21310339435256023,0.9822666666666667,143.33333333333334,0.8833333333333334,0.9499999999999998,0.9166666666666666,0.7666666666666666,1982,2.790278991063436,236.77441172822373,0.0,Agreement
d5566450-a114-4e65-85b0-ada99ef59256,2024-12-15T16:57:06.323761,Model 1,Logical and Analytical,123300,128300.0,4.0551500405515,0.004279342746250409,0.14800535945467985,0.8390449285507202,0.5219738582770029,0.18578527333435782,0.9866,131.0,0.9166666666666666,0.9333333333333332,0.9250000000000002,0.8333333333333334,2087,2.39977232615153,289.88861113432966,0.0,Agreement
db2b7e8f-c7fe-4d61-99f2-aed533306661,2024-12-15T16:57:52.365053,Model 1,Ambitious and Goal-Oriented,48400,55200.0,14.049586776859504,0.01466195092780755,0.21208717047541864,0.8417142778635025,0.5796301960945129,0.2010372886252401,0.903175,119.25,0.8999999999999999,0.9125,0.9062500000000001,0.75,2546,1.772318422794342,359.13411033467474,0.0,Agreement
17a9f08d-9bd3-4604-8d5f-b55c3208e688,2024-12-15T16:58:34.637831,Model 1,Optimistic and Cheerful,54100,56100.0,3.6968576709796674,0.01655360743133443,0.21019469297690777,0.8512943089008331,0.5937471985816956,0.21031899004442278,0.9076249999999999,107.25,0.8625,0.9249999999999999,0.89375,0.675,2375,1.5252227783203125,389.28739357923905,0.0,Agreement
58ea45f3-608a-4ef4-9a75-9a936fef6690,2024-12-15T16:59:11.179129,Model 1,Intuitive and Visionary,98600,98600,0.0,0.008231187478088282,0.15031389164629588,0.8384959896405538,0.6092831889788309,0.17670198207139196,0.9871666666666666,140.0,0.8166666666666668,0.9166666666666666,0.8666666666666667,0.7666666666666666,2043,2.3427350521087646,290.68587990221596,0.0,Agreement
c57a6361-4719-4b45-86a4-7316e63b2042,2024-12-15T16:59:50.996393,Model 1,Innovative and Forward-Thinking,107300,133500.0,24.417520969245107,0.011908627404142001,0.17912465242356704,0.8359519243240356,0.5931941866874695,0.1887640440310271,0.9921666666666665,143.0,0.75,0.9333333333333332,0.8416666666666667,0.4666666666666666,2095,2.4462192058563232,285.4745525918127,0.0,Agreement
d3d58fcb-ed54-4ae2-bc44-e6ecba8f10d2,2024-12-15T17:00:33.128812,Model 1,Thoughtful and Reflective,123000,132000.0,7.317073170731707,0.005638995394285591,0.20604805395963996,0.8403638005256653,0.5810750722885132,0.21069249204371354,0.9845,140.0,0.9,0.9166666666666666,0.9083333333333332,0.8333333333333334,2097,3.217139482498169,217.27376254672473,0.0,Agreement
