ConversationID,Timestamp,Model,Personality,Initial Salary,Final Salary,Salary Percent Change,BLEU,ROUGE,BERTScore,Cosine Similarity,METEOR,Avg Sentiment Score,Avg Response Length,Avg Relevance Score,Avg Coherence Score,Avg Combined GEval Score,MAUDE,Total Tokens,Avg Latency,Tokens per Second,Total Cost,Summary
4f72b9de-df84-42d8-a190-7b58b3cc69e2,2024-12-15T17:08:01.293882,Model 2,Independent and Self-Assured,126200,144500.0,14.50079239302694,0.024002011519911975,0.17454983114739878,0.8581866025924683,0.5923971831798553,0.1696909829708382,0.892625,61.5,0.95,0.95,0.95,0.725,1763,2.0481319427490234,215.19609689228366,0.0,Agreement
b8be503b-92b1-4141-912a-e052eddebcf2,2024-12-15T17:08:35.465129,Model 2,Respectful and Polite,128400,133400.0,3.894080996884735,0.022817233564193153,0.15394045427123168,0.8534393459558487,0.523214302957058,0.1860047701358127,0.929125,77.75,0.7249999999999999,0.95,0.8374999999999999,0.55,1535,1.4180065393447876,270.6263965308071,0.0,Agreement
c9a03cb0-b1f7-4467-8c6a-b5f6cc8da74e,2024-12-15T17:09:33.725796,Model 2,Pessimistic and Skeptical,95900,95900,0.0,0.011985449174771632,0.14366787022939456,0.8459060887495676,0.4315430422623952,0.20092703931791664,0.9692500000000001,102.16666666666667,0.8833333333333333,0.9083333333333333,0.8958333333333334,0.7833333333333333,3309,1.7736646731694539,310.93814312403026,0.0,No Agreement
ce9c547f-a3a9-4353-b8f1-fb2b94f3ec93,2024-12-15T17:10:32.734482,Model 2,Assertive and Direct,97200,97200,0.0,0.03721623359507926,0.2081368055756546,0.8654977977275848,0.6374569336573283,0.23284947347545015,0.9063833333333333,79.66666666666667,0.9416666666666668,0.9583333333333334,0.9500000000000001,0.8333333333333335,2964,1.800471345583598,274.3725976043661,0.0,No Agreement
88a92cc5-116d-45a2-9a5d-8232c0b31bbc,2024-12-15T17:11:13.178845,Model 2,Thoughtful and Reflective,62700,69900.0,11.483253588516746,0.010359643152303862,0.11882413150821505,0.8426547646522522,0.49016862362623215,0.18867257667812548,0.884325,124.5,0.75,0.9374999999999999,0.84375,0.55,2060,2.428457260131836,212.06879299660466,0.0,Agreement
8f5a6dd5-a99a-4a77-bc52-85468b84f763,2024-12-15T17:12:13.118178,Model 2,Pessimistic and Skeptical,156300,156300,0.0,0.010538540005597436,0.1279249231840611,0.8435536126295725,0.48914332191149396,0.1706188377006109,0.8685499999999999,82.83333333333333,0.9,0.9166666666666666,0.9083333333333333,0.7000000000000001,2942,2.107247749964396,232.68898179704686,0.0,No Agreement
f5971208-da9c-43c7-8377-dfb8722309a9,2024-12-15T17:12:53.370787,Model 2,Cooperative and Team-Oriented,118400,118400,0.0,0.009967133394271348,0.15470506584296737,0.8488984405994415,0.5583506748080254,0.17991013630583852,0.984375,91.75,0.8875,0.8875,0.8875,0.75,1734,1.5504584908485413,279.59471508505356,0.0,No Agreement
5c2ff321-fc00-4337-b498-af07bdb8c2d5,2024-12-15T17:13:27.160887,Model 2,Data-Driven and Objective,104900,104900,0.0,0.01680098613337929,0.17291447379545322,0.8583509922027588,0.6257696226239204,0.2345321548685223,0.979825,97.75,0.8624999999999999,0.9374999999999999,0.8999999999999999,0.675,1511,1.4710408449172974,256.7909662775117,0.0,No Agreement
09d6cc14-ea06-4aad-aafc-9357dfb6a22c,2024-12-15T17:14:08.516200,Model 2,Thoughtful and Reflective,66000,72100.0,9.242424242424242,0.008043688738270771,0.15964780938480758,0.8510123789310455,0.5128680169582367,0.19380906862784525,0.8580000000000001,83.0,0.95,0.95,0.95,0.875,1815,1.8217724561691284,249.07062265841782,0.0,Agreement
b21048bd-641c-41f0-ab48-c903bfd82e7b,2024-12-15T17:14:45.239800,Model 2,Ambitious and Goal-Oriented,120900,137000.0,13.316790736145576,0.009490652613863214,0.14632457215878497,0.8505075424909592,0.5591288581490517,0.155166227465438,0.805925,78.0,0.95,0.95,0.95,0.75,1749,1.9496487379074097,224.27116818453547,0.0,Agreement
